actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹13,999",30% off,"POCO M4 Pro (Yellow, 128 GB)","₹,19,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","1,54,757 Ratings "
"₹13,999",26% off,"POCO M4 5G (Cool Blue, 128 GB)","₹,18,999",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,1 Year Warranty for Handset and 6 Months for Accessories","28,572 Ratings "
"₹15,999",30% off,"POCO X4 Pro 5G (Laser Blue, 64 GB)","₹,22,999",4.2,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor,One Year for Handset, 6 Months for Accessories","76,397 Ratings "
"₹12,999",27% off,"POCO M4 Pro (Cool Blue, 64 GB)","₹,17,999",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","1,54,757 Ratings "
"₹22,999",11% off,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹,25,999",4.4,"6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","1,985 Ratings "
"₹24,999",13% off,"POCO X5 Pro 5G (Horizon Blue, 256 GB)","₹,28,999",4.4,"8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","2,120 Ratings "
"₹22,999",11% off,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹,25,999",4.4,"6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","1,985 Ratings "
"₹15,599",22% off,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹,19,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,One Year for Handset, 6 Months for Accessories","49,704 Ratings "
"₹14,999",31% off,"POCO M4 Pro (Power Black, 128 GB)","₹,21,999",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","14,587 Ratings "
"₹14,999",31% off,"POCO M4 Pro (Power Black, 128 GB)","₹,21,999",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","14,587 Ratings "
